Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
Public Hearing;2024-07-25;10187;4. CD-1 Rezoning: 800 Commercial Drive;2024-07-25T19:12:13-07:00;Carried Unanimously
Public Hearing;2024-07-25;10188;5. CD-1 Rezoning: 2096 West Broadway and 2560-2576 Arbutus Street;2024-07-25T20:03:48-07:00;Carried Unanimously
Public Hearing;2024-07-25;10189;6. 2024 Annual Inflationary Rate Adjustments to Density Bonus Contributions;2024-07-25T20:13:08-07:00;Carried Unanimously
Council;2024-09-24;10194;West End Rezoning Policy: Interim Inclusionary Social Housing - Floor Area Reduction - amendment;2024-09-24T10:50:52-07:00;Carried
Council;2024-09-24;10195;West End Rezoning Policy: Interim Inclusionary Social Housing - Floor Area Reduction - final motion as amended;2024-09-24T10:52:09-07:00;Carried Unanimously
Council;2024-09-24;10196;Quarterly Capital Budget Adjustments and Closeouts;2024-09-24T10:55:50-07:00;Carried Unanimously
Council;2024-09-24;10197;Infrastructure Access Agreement for District Energy Pipe Network Connection to River District Energy;2024-09-24T11:04:21-07:00;Carried Unanimously
Council;2024-09-24;10198;Boundary Road Maintenance Agreement - AMENDMENT;2024-09-24T11:09:35-07:00;Carried Unanimously
Council;2024-09-24;10199;Boundary Road Maintenance Agreement - Final Motion;2024-09-24T11:10:04-07:00;Carried Unanimously
Council;2024-09-24;10200;Heritage Revitalization Agreement Modification - 1230 Matthews Avenue;2024-09-24T11:28:02-07:00;Carried Unanimously
Council;2024-09-24;10202;2025 Interest Rate on Property Tax Arrears;2024-09-24T11:28:34-07:00;Carried Unanimously
Council;2024-09-24;10203;Appointment of External Auditor for 2025;2024-09-24T11:28:56-07:00;Carried Unanimously
Council;2024-09-24;10204;Seniors Housing Strategy - Related Amendments to By-laws and Land-use Documents;2024-09-24T11:29:21-07:00;Carried Unanimously
Council;2024-09-24;10205;CD-1 (50) Text Amendment: 3282-3296 East 1st Avenue;2024-09-24T11:29:46-07:00;Carried Unanimously
Council;2024-09-24;10206;Rezoning: 5212 Granville Street;2024-09-24T11:30:11-07:00;Carried Unanimously
Council;2024-09-24;10207;Rezoning: 5950-5990 Granville Street;2024-09-24T11:31:04-07:00;Carried Unanimously
Council;2024-09-24;10208;Rezoning: 4489 Oak Street;2024-09-24T11:31:36-07:00;Carried Unanimously
Public Hearing;2024-09-24;10209;1. Rezoning: 4708-4742 Joyce Street and 3604 Tanner Street;2024-09-24T18:30:22-07:00;Carried Unanimously
Public Hearing;2024-09-24;10210;2. CD-1 Rezoning: 5630-5678 Heather Street;2024-09-24T19:11:18-07:00;Carried Unanimously
Public Hearing;2024-09-24;10211;3. CD-1 Rezoning: 975 West 57th Avenue;2024-09-24T19:32:36-07:00;Carried Unanimously
Public Hearing;2024-09-24;10212;4. Modernizing Home-Based Business Regulations - Amendment;2024-09-24T19:52:52-07:00;Carried Unanimously
Public Hearing;2024-09-24;10213;4. Modernizing Home-Based Business Regulations;2024-09-24T19:53:19-07:00;Carried Unanimously
Public Hearing;2024-09-24;10214;5. Short Term Rental Regulations - Clause A;2024-09-24T21:07:29-07:00;Carried
Public Hearing;2024-09-24;10215;5. Short Term Rental Regulations - Clause B;2024-09-24T21:08:02-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10218;Expanding the Metro West Inter-Municipal Business Licence to Include Health Care Professionals and Services;2024-09-25T09:44:31-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10219;R4. Civic Protocol Policy Amendments;2024-09-25T10:02:41-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10220;R4. Civic Protocol Policy Amendments;2024-09-25T10:03:46-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10221;Motion 1. FCM Resolution: Enhancing Accessibility Under the Federal Plastic Straw Ban;2024-09-25T10:06:30-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10223;R2. Contract Award for Supply and Delivery of Electrical Traffic Control Parts;2024-09-25T10:44:03-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-09-25;10225;R3. Proposed Amendment to Subdivision By-law No. 5208 - Reclassification of 1250 West 54th Avenue;2024-09-25T10:44:38-07:00;Carried Unanimously
Council;2024-10-08;10227;COMM-1. 2025 Council Meetings Schedule;2024-10-08T10:02:29-07:00;Carried Unanimously
Council;2024-10-08;10228;"R1. Reconciliation Report 10-Year; Colonial Audit Consolidation";2024-10-08T10:47:12-07:00;Carried Unanimously
Council;2024-10-08;10229;R3. Vancouver Heritage Register Upgrade;2024-10-08T11:34:56-07:00;Carried Unanimously
Council;2024-10-08;10230;R2. 2025 Business Licence, Vehicles for Hire and Animal Control Fees;2024-10-08T11:54:30-07:00;Carried Unanimously
Council;2024-10-08;10231;R4. Closure of a Portion of Road Adjacent 525 Powell Street;2024-10-08T11:55:24-07:00;Carried Unanimously
Council;2024-10-08;10232;R5. Community Housing Incentive Program Grant - ALT Jackson Housing Society;2024-10-08T11:55:52-07:00;Carried Unanimously
Council;2024-10-08;10233;RR1. CD-1 Rezoning: 2156-2174 West 14th Avenue;2024-10-08T11:56:41-07:00;Carried Unanimously
Council;2024-10-08;10234;RR2. CD-1 Rezoning: 701 Kingsway;2024-10-08T11:57:14-07:00;Carried Unanimously
Council;2024-10-08;10235;RR3. CD-1 (843) Text Amendment: 888 West Broadway (Formerly 878-898 West Broadway);2024-10-08T11:57:36-07:00;Carried Unanimously
Council;2024-10-08;10236;RR4. CD-1 Rezoning: 523-549 East 10th Avenue;2024-10-08T11:57:53-07:00;Carried Unanimously
Council;2024-10-08;10237;RR5. CD-1 Rezoning: 2175 West 7th Avenue;2024-10-08T11:58:08-07:00;Carried Unanimously
Council;2024-10-08;10238;RR6. CD-1 (845) Text Amendment: 728-796 Main Street and 205 Union Street;2024-10-08T11:58:48-07:00;Carried Unanimously
Council;2024-10-08;10239;RR7. Rezoning: 3983-3991 West 10th Avenue;2024-10-08T11:59:01-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10240;A1. Fee Waiver Grant to Support the 'Victory Square Banner Program';2024-10-09T10:57:04-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10241;A2. Potential to Update the Vancouver Building Bylaw to enable Single Egress Stairs Low & Mid-Rise Buildings to Align with Provincial Changes to the B;2024-10-09T11:18:43-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10242;A2. Potential to Update the Vancouver Building Bylaw to enable Single Egress Stairs Low & Mid-Rise Buildings to Align with Provincial Changes to the B;2024-10-09T11:25:10-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10243;A2. Potential to Update the Vancouver Building Bylaw to enable Single Egress Stairs Low & Mid-Rise Buildings to Align with Provincial Changes to the B;2024-10-09T11:29:20-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10244;A3. Reviewing Council's Committees & Structure to Enhance Decision-Making Processes;2024-10-09T11:43:51-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10245;A3. Reviewing Council's Committees & Structure to Enhance Decision-Making Processes;2024-10-09T11:59:59-07:00;Carried
City Finance & Services;2024-10-09;10246;A3. Reviewing Council's Committees & Structure to Enhance Decision-Making Processes;2024-10-09T12:08:04-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10248;P1. Inappropriate Public Behaviours - Updating the City's Violence Prevention Program to Ensure a Respectful and Safe Work Environment for Employees;2024-10-09T12:19:49-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10249;R1. Agricultural Land Reserve - Soil Deposit at 2999 West 53rd Avenue;2024-10-09T12:20:10-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10250;R2. Contract Award for Value Added Reseller for Network and Data Center Hardware, Software, Services, Support & Warranty;2024-10-09T12:20:29-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10251;R3. Contract Award for Construction Services for Sunset Seniors Centre Building - General Contractor;2024-10-09T12:20:47-07:00;Carried Unanimously
City Finance & Services;2024-10-09;10252;UB 1. Resolution â€“ Closure of a Portion of Road Adjacent 525 Powell Street;2024-10-09T12:21:32-07:00;Carried Unanimously
Special Council;2024-10-10;10254;1. Business Licence No. 23-157974 (Short Term Rental)-2749 E 8th Avenue;2024-10-10T10:53:41-07:00;Carried Unanimously
Auditor General Committee;2024-10-17;10255;2. Office of the Auditor General 2025 Budget Request;2024-10-17T10:29:11-07:00;Carried Unanimously
Council;2024-10-22;10256;Villages Planning Program - Scope of Work;2024-10-22T10:54:24-07:00;Carried Unanimously
Council;2024-10-22;10257;Directions Report: Consideration of Modification to Conditions of Approval for CD-1 Rezoning: 949 West 41st Avenue and 5469-5507 Willow Street - Amendment;2024-10-22T12:04:32-07:00;Lost
Council;2024-10-22;10258;Directions Report: Consideration of Modification to Conditions of Approval for CD-1 Rezoning: 949 West 41st Avenue and 5469-5507 Willow Street;2024-10-22T12:06:49-07:00;Carried
Council;2024-10-22;10259;Proposed Amendment to Sewer and Watercourse By-law No. 8093;2024-10-22T12:08:44-07:00;Carried Unanimously
Council;2024-10-22;10260;2025 Property Tax Exemption - Seniors Housing;2024-10-22T12:09:26-07:00;Carried Unanimously
Council;2024-10-22;10261;CD-1 Rezoning: 1068-1090 Burnaby Street and 1318 Thurlow Street;2024-10-22T12:09:43-07:00;Carried Unanimously
Council;2024-10-22;10262;CD-1 Rezoning: 1960 West 7th Avenue;2024-10-22T12:09:56-07:00;Carried Unanimously
Council;2024-10-22;10263;Council Delegation of Authority to Approve the Form of Development;2024-10-22T12:10:08-07:00;Carried Unanimously
Council;2024-10-22;10264;Municipal Grants Jurisdictional Review and Arts, Culture and Social Grant Program Refinements - Amendment;2024-10-22T16:04:30-07:00;Carried
Council;2024-10-22;10265;Municipal Grants Jurisdictional Review and Arts, Culture and Social Grant Program Refinements - Final Amended Motion;2024-10-22T16:06:38-07:00;Carried
Council;2024-10-22;10266;Future Direction of the Awards of Excellence Program - Amendment;2024-10-22T16:16:31-07:00;Carried
Council;2024-10-22;10267;Future Direction of the Awards of Excellence Program - Final Amended Motion;2024-10-22T16:17:14-07:00;Carried
Public Hearing;2024-10-22;10268;1. Seniors Housing Strategy - Related Amendments to By-laws and Land-use Documents;2024-10-22T18:24:34-07:00;Carried Unanimously
Public Hearing;2024-10-22;10269;2. Rezoning: 4489 Oak Street;2024-10-22T18:42:12-07:00;Carried Unanimously
Public Hearing;2024-10-22;10270;3. Rezoning: 5950-5990 Granville Street;2024-10-22T18:52:07-07:00;Carried Unanimously
Public Hearing;2024-10-22;10271;4. Rezoning: 5212 Granville Street;2024-10-22T19:13:41-07:00;Carried Unanimously
Public Hearing;2024-10-22;10272;5. CD-1 (50) Text Amendment: 3282-3296 East 1st Avenue;2024-10-22T19:24:33-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10273;R1. Urgent Mental Health and Substance Use Service Enhancements Program - 2024 Update;2024-10-23T11:07:12-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10274;R2. Gastown Water Street Pedestrian Zone Pilot Update;2024-10-23T15:39:03-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10275;R2. Gastown Water Street Pedestrian Zone Pilot Update;2024-10-23T15:53:49-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10276;R4. Appointments of Council Representatives;2024-10-23T16:17:53-07:00;Carried
Policy & Strategic Priorities;2024-10-23;10277;Motion 1. Requesting the Provincial Government Oversee a City of Vancouver Lobbyist Registry;2024-10-23T16:33:15-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10278;Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network;2024-10-23T17:35:09-07:00;Lost
Policy & Strategic Priorities;2024-10-23;10279;Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network;2024-10-23T17:35:58-07:00;Carried
Policy & Strategic Priorities;2024-10-23;10280;Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network;2024-10-23T17:36:41-07:00;Lost
Policy & Strategic Priorities;2024-10-23;10281;Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network;2024-10-23T17:37:25-07:00;Carried
Policy & Strategic Priorities;2024-10-23;10282;Motion 2. Enhancing Public Safety through Real-Time Access to the Cityâ€™s Traffic Camera Network;2024-10-23T17:43:23-07:00;Carried
Policy & Strategic Priorities;2024-10-23;10283;Motion 3. Unlocking Community Potential: Collaborating with Faith-Based Groups for Affordable Housing and Social Impact in Vancouver;2024-10-23T19:14:17-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10284;Motion 4. A Lobbyist Registry for Vancouver;2024-10-23T19:48:39-07:00;Carried
Policy & Strategic Priorities;2024-10-23;10285;Motion 5. Establishing a Community Policing Centre in Gastown and Area to Enhance Safety and Security;2024-10-23T20:45:28-07:00;Lost
Policy & Strategic Priorities;2024-10-23;10286;Motion 5. Establishing a Community Policing Centre in Gastown and Area to Enhance Safety and Security;2024-10-23T21:07:24-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10287;Motion 5. Establishing a Community Policing Centre in Gastown and Area to Enhance Safety and Security;2024-10-23T21:08:56-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10288;Motion 7. Protecting and Enhancing Greenspace for the East End, Chinatown, Hogan's Alley and Strathcona;2024-10-23T21:31:02-07:00;Carried Unanimously
Policy & Strategic Priorities;2024-10-23;10289;R3. Zero Waste 2040 5-Year Implementation Update;2024-10-23T21:34:10-07:00;Carried Unanimously
Special Council;2024-11-05;10293;1. Request for Leave of Absence;2024-11-05T16:17:27-08:00;Carried Unanimously
Council;2024-11-12;10294;R1. Seismic Risk and Risk Reduction in Existing Privately Owned Buildings;2024-11-12T11:04:56-08:00;Carried Unanimously
Council;2024-11-12;10295;R2. Sponsorship and Sponsorship Naming Rights Policy;2024-11-12T11:13:55-08:00;Carried Unanimously
Council;2024-11-12;10296;R3. Rainwater Management to Facilitate New Housing;2024-11-12T11:27:43-08:00;Carried Unanimously
Council;2024-11-12;10297;"R5. Provincial Housing Targets Order - Progress Report - October 1, 2023 â€“
September 30, 2024 & Interim Provincial Housing Needs Report";2024-11-12T11:41:33-08:00;Carried Unanimously
Council;2024-11-12;10298;R7. Amendments to the Mayor and Councillors Expenses By-Law;2024-11-12T11:46:14-08:00;Carried Unanimously
Council;2024-11-12;10300;Comm 1 - Correction of Administrative Error - Metro Vancouver Council Representatives;2024-11-12T12:07:48-08:00;Carried Unanimously
Council;2024-11-12;10301;R4. Auditor General Committee Recommendations Transmittal Report;2024-11-12T12:08:06-08:00;Carried Unanimously
Council;2024-11-12;10303;R6. Business Licence Hearing Panels - January to July 2025;2024-11-12T12:09:17-08:00;Carried Unanimously
Council;2024-11-12;10306;RR1. CD-1 Rezoning: 1726 West 11th Avenue;2024-11-12T12:09:50-08:00;Carried Unanimously
Council;2024-11-12;10308;RR2. CD-1 Text Amendment: 8 East Broadway (Formerly 2-24 East Broadway & 2520 Ontario Street)\t;2024-11-12T12:10:09-08:00;Carried Unanimously
Council;2024-11-12;10310;RR3. CD-1 Rezoning: 1365 West 12th Avenue;2024-11-12T12:10:28-08:00;Carried Unanimously
Public Hearing;2024-11-12;10312;1. Rezoning: 3983-3991 West 10th Avenue;2024-11-12T18:40:56-08:00;Carried Unanimously
Public Hearing;2024-11-12;10313;2. CD-1 (843) Text Amendment: 888 West Broadway (formerly 878-898 West Broadway);2024-11-12T19:03:01-08:00;Carried Unanimously
Public Hearing;2024-11-12;10314;3. CD-1 (845) Text Amendment: 728-796 Main Street and 205 Union Street;2024-11-12T20:13:07-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10315;A1. Establishing a South Asian Cultural Centre of Excellence in Vancouver;2024-11-13T10:02:47-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10316;A2. Unlocking Attainable Home Ownership;2024-11-13T10:20:06-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10317;1. 2024 Cultural Grants (Equity, Indigenous, Individual Artists, Capacity);2024-11-13T10:44:21-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10318;2. Vancouver Community Sport Events Grants - Fall 2024 Intake;2024-11-13T10:44:46-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10319;3. Annual Financial Authorities 2025;2024-11-13T10:45:39-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10320;4. Impoundment Towing Rates and Electronic Tow-away Notice;2024-11-13T10:46:09-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10321;5. REPORT BACK: Civic Protocol Policy Amendments;2024-11-13T10:46:40-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10322;6. 2024 UBCM Conference - Sponsorship of Programming;2024-11-13T10:47:10-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10323;7. Contract Award for Pre-qualified Contractors for Construction Services for Sewer and Other Utility Works;2024-11-13T10:47:44-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10324;8. Approval of Change Order to existing contract No. PS20211229 - Consulting Services for PNE Amphitheatre Phase 1 and Phase 2 with Revery Architectur;2024-11-13T10:48:15-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10325;9. Contract Award - Change Order (for IBM) Provision of Implementation Services for SAP SuccessFactors Learning;2024-11-13T10:50:24-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10326;10. Contract Award: SAP SuccessFactors Licenses;2024-11-13T10:50:52-08:00;Carried Unanimously
City Finance & Services;2024-11-13;10327;BY-LAWS;2024-11-13T10:52:49-08:00;Carried Unanimously
Public Hearing;2024-11-14;10328;4. CD-1 Rezoning: 523-549 East 10th Avenue;2024-11-14T18:09:29-08:00;Carried Unanimously
Public Hearing;2024-11-14;10329;5. CD-1 Rezoning: 701 Kingsway;2024-11-14T20:32:33-08:00;Carried Unanimously
Special Council;2024-11-19;10330;1. Business Licence Application No. 24-215651 (Short Term Rental) 703-188 Keefer Place;2024-11-19T10:31:51-08:00;Carried
Special Council;2024-11-19;10331;2. Business Licence Application No. 24-159069 (Short Term Rental) 903-180 E 2nd Avenue;2024-11-19T11:40:42-08:00;Carried
Council;2024-11-26;10332;CD-1 Rezoning: 701 Kingsway;2024-11-26T10:00:21-08:00;Carried Unanimously
Council;2024-11-26;10333;CD-1 Rezoning: 2156-2174 West 14th Avenue;2024-11-26T10:10:39-08:00;Carried Unanimously
Council;2024-11-26;10334;CD-1 Rezoning: 2175 West 7th Avenue;2024-11-26T10:17:45-08:00;Carried Unanimously
Council;2024-11-26;10335;Report Back on Parking Meter Fees in Chinatown and Amendments to the Street and Traffic By-law and the Parking Meter By-law;2024-11-26T10:39:47-08:00;Carried Unanimously
Council;2024-11-26;10336;Change to Council Meeting Schedule;2024-11-26T16:54:15-08:00;Carried Unanimously
Council;2024-11-26;10337;Mountain View Cemetery - 2025 Fee Increases and Adjustments;2024-11-26T16:54:32-08:00;Carried Unanimously
Council;2024-11-26;10338;Business Improvement Areas (BIA) Renewals and Expansion 2025;2024-11-26T16:54:46-08:00;Carried Unanimously
Council;2024-11-26;10339;Vancouver Civic Theatres Rental Rates 2025-2026;2024-11-26T16:56:21-08:00;Carried Unanimously
Council;2024-11-26;10340;Applications to Government of British Columbia Funding Programs;2024-11-26T16:56:32-08:00;Carried Unanimously
Council;2024-11-26;10341;Mayor's Budget Task Force Implementation Oversight Committee Recommendations Transmittal Report;2024-11-26T16:56:49-08:00;Carried Unanimously
Council;2024-11-26;10342;Nomination Subcommittee Recommendations Transmittal Report;2024-11-26T16:57:01-08:00;Carried Unanimously
Public Hearing;2024-11-26;10344;1. Council Delegation of Authority to Approve the Form of Development;2024-11-26T18:26:19-08:00;Carried Unanimously
Public Hearing;2024-11-26;10345;2. CD-1 Rezoning: 1068-1090 Burnaby Street and 1318 Thurlow Street;2024-11-26T19:18:32-08:00;Carried Unanimously
Public Hearing;2024-11-26;10347;3. CD-1 Rezoning: 1960 West 7th Avenue;2024-11-26T20:14:45-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10348;R2. 2024 Community Services and Other Social Grants;2024-11-27T11:22:23-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10349;R2. 2024 Community Services and Other Social Grants;2024-11-27T11:23:11-08:00;Carried
Policy & Strategic Priorities;2024-11-27;10350;R8. Allowing Gas Heating and Hot Water in New Construction;2024-11-27T20:12:05-08:00;Carried
Policy & Strategic Priorities;2024-11-27;10351;R8. Allowing Gas Heating and Hot Water in New Construction;2024-11-27T20:12:44-08:00;Lost
Policy & Strategic Priorities;2024-11-27;10352;R8. Allowing Gas Heating and Hot Water in New Construction;2024-11-27T20:13:24-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10353;Motion 1. Advocating for Climate-Resilient Housing Standards in Response to Extreme Heat Events;2024-11-27T20:23:28-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10354;Motion 2. Formalizing the 100 Block of Robson Street as a Dedicated Fan Zone;2024-11-27T20:40:49-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10355;Motion 3. Ensuring Councillors Motions Maintain Public Confidence in the Good Rule of the City;2024-11-27T21:00:41-08:00;Carried
Policy & Strategic Priorities;2024-11-27;10356;Motion 3. Ensuring Councillors Motions Maintain Public Confidence in the Good Rule of the City;2024-11-27T21:09:46-08:00;Carried
Policy & Strategic Priorities;2024-11-27;10358;Motion 3. Ensuring Councillors Motions Maintain Public Confidence in the Good Rule of the City;2024-11-27T21:13:33-08:00;Lost
Policy & Strategic Priorities;2024-11-27;10359;R3. 2024 SRO Upgrading Grant and Arts and Culture Grant;2024-11-27T21:25:18-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10360;R5. Change Order to Deloitte Inc. Consulting Services Agreement for SAP S/4HANA Conversion;2024-11-27T21:25:50-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10361;R6. Contract Award for Provision of Advanced Water Metering Infrastructure;2024-11-27T21:25:59-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10362;R7. Contract Award for Service Provider to Assist the City in the Planning and Delivery of the FIFA Fan Festival T;2024-11-27T21:26:10-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10363;Motion 2. Formalizing the 100 Block of Robson Street as a Dedicated Fan Zone;2024-11-27T21:27:18-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10364;Motion 2. Formalizing the 100 Block of Robson Street as a Dedicated Fan Zone;2024-11-27T21:27:26-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10367;Motion 3. Ensuring Councillors Motions Maintain Public Confidence in the Good Rule of the City;2024-11-27T21:28:08-08:00;Lost
Policy & Strategic Priorities;2024-11-27;10368;Motion 3. Ensuring Councillors Motions Maintain Public Confidence in the Good Rule of the City;2024-11-27T21:29:55-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-11-27;10369;"2025 Fee Increases for Rezoning, Development, Building, and other Related
Permits";2024-11-27T21:30:20-08:00;Carried Unanimously
Special Council;2024-12-03;10370;R2. 2024 Budget Adjustments - Vancouver Police Department and Vancouver Fire Rescue Services;2024-12-03T13:42:13-08:00;Carried Unanimously
Special Council;2024-12-03;10371;R2. 2024 Budget Adjustments - Vancouver Police Department and Vancouver Fire Rescue Services;2024-12-03T13:42:34-08:00;Carried Unanimously
Council;2024-12-10;10372;R1a) 2025 Engineering Fees;2024-12-10T09:47:02-08:00;Carried Unanimously
Council;2024-12-10;10373;R1b) 2025 Annual Review of Water Rates and Water Works By-law Amendments;2024-12-10T09:48:06-08:00;Carried Unanimously
Council;2024-12-10;10374;R1c) 2025 Annual Review of Sewer Rates - Sewer and Watercourse By-law;2024-12-10T09:49:01-08:00;Carried Unanimously
Council;2024-12-10;10375;R1d) 2025 Solid Waste Utility Fees and By-law Changes;2024-12-10T09:49:46-08:00;Carried Unanimously
Council;2024-12-10;10376;R1e) 2025 False Creek Neighbourhood Energy Utility Customer Rates;2024-12-10T09:50:33-08:00;Carried Unanimously
Council;2024-12-10;10377;R1f) 2025 Draft Operating and Capital Budget - Amendment;2024-12-10T10:16:15-08:00;Lost
Council;2024-12-10;10378;R1f) 2025 Draft Operating and Capital Budget - Amendment;2024-12-10T10:59:49-08:00;Carried Unanimously
Council;2024-12-10;10379;R1f) 2025 Draft Operating and Capital Budget - Amendment;2024-12-10T11:10:09-08:00;Carried
Council;2024-12-10;10380;R1f) A(d) 2025 Draft Operating and Capital Budget;2024-12-10T12:03:47-08:00;Carried Unanimously
Council;2024-12-10;10381;R1f) K(THAT) 2025 Draft Operating and Capital Budget;2024-12-10T12:04:54-08:00;Carried
Council;2024-12-10;10382;R1f) K (FURTHER THAT) 2025 Draft Operating and Capital Budget;2024-12-10T12:05:34-08:00;Carried Unanimously
Council;2024-12-10;10383;R1f) A (THAT, a, b, c, and FURTHER THAT), and B through J - 2025 Draft Operating and Capital Budget;2024-12-10T12:06:07-08:00;Carried Unanimously
Council;2024-12-10;10385;Comm 1. Change to Council Meeting Schedule;2024-12-10T12:30:16-08:00;Carried Unanimously
Council;2024-12-10;10387;Comm 2. Correction of Administrative Error - June 20, 2024, Auditor General Committee Meeting;2024-12-10T12:31:23-08:00;Carried Unanimously
Council;2024-12-10;10388;R2. 2025 Land Assessment Averaging: Notice to BC Assessment Authority;2024-12-10T12:31:53-08:00;Carried Unanimously
Council;2024-12-10;10390;R3. Selection of and Terms for Social Housing Operator at 5718 Choy Yuen Crescent;2024-12-10T12:32:20-08:00;Carried Unanimously
Council;2024-12-10;10391;R4. 2511 Carolina Street - Closure of Portions of Street to Accommodate Heritage Building Encroachments;2024-12-10T12:32:37-08:00;Carried Unanimously
Council;2024-12-10;10392;R5. Community Housing Incentive Program Grant - Three-Point Housing Society;2024-12-10T12:32:59-08:00;Carried Unanimously
Council;2024-12-10;10394;RR1. Rezoning: 2520-2544 West 16th Avenue and 3223 Larch Street;2024-12-10T12:33:41-08:00;Carried Unanimously
Council;2024-12-10;10395;RR2. CD-1 Rezoning: 1245-1265 West 10th Avenue;2024-12-10T12:34:10-08:00;Carried Unanimously
Council;2024-12-10;10396;RR3. Rezoning: 626 West 32nd Avenue;2024-12-10T12:34:28-08:00;Carried Unanimously
Council;2024-12-10;10397;RR4. Rezoning: 5889-5925 Dunbar Street;2024-12-10T12:34:53-08:00;Carried Unanimously
Council;2024-12-10;10398;RR5. Miscellaneous Amendments Concerning Various CD-1 By-laws and Schedule E of the Zoning and Development By-law;2024-12-10T12:35:11-08:00;Carried Unanimously
Council;2024-12-10;10399;RR6. CD-1 Rezoning: 1190 West 10th Avenue;2024-12-10T12:35:46-08:00;Carried Unanimously
Council;2024-12-10;10400;RR7. CD-1 Rezoning: 1434-1456 West 8th Avenue;2024-12-10T12:36:00-08:00;Carried Unanimously
Public Hearing;2024-12-10;10410;4. CD-1 Rezoning: 1365 West 12th Avenue;2024-12-10T20:35:10-08:00;Carried Unanimously
Public Hearing;2024-12-10;10411;3. CD-1 Rezoning: 1726 West 11th Avenue;2024-12-10T20:36:26-08:00;Carried Unanimously
Public Hearing;2024-12-10;10412;2. CD-1 Text Amendment: 8 East Broadway (Formerly 2-24 East Broadway and 2520 Ontario Street);2024-12-10T20:37:11-08:00;Carried Unanimously
Public Hearing;2024-12-10;10413;1. 2610 Marine Crescent - Heathfield House - Heritage Designation;2024-12-10T20:37:24-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10414;Report 4. Contract Award for the Construction of the Early Works for the FIFA World Cup 26;2024-12-11T11:23:15-08:00;Carried
City Finance & Services;2024-12-11;10415;Member Motion 1. Support for Japanese Canadian Interpretive Centre at Hastings Park;2024-12-11T11:55:12-08:00;Carried Unanimously
